Per,Nat,Pokemon,HP,Atk,Def,SpA,SpD,Spe,Total,Type I,Type II,Tier,Ability I,Ability II,Hidden Ability,Mass,LK/GK,EV Worth,EXPV,Color,Hatch,Gender,Egg Group I,Egg Group II,Catch,EXP,Evolve,Joh,Hoe,Sin,Un
175,144,Articuno,90,85,100,95,125,85,580,Ice,Flying,NU,Pressure,,Snow Cloak,55.4,80,3 SpD,215,Blue,NONE,None,-,,3,1250000,N,235,,,
176,145,Zapdos,90,90,85,125,90,100,580,Electric,Flying,UU,Pressure,,Lightningrod,52.6,80,3 SpA,216,Yellow,NONE,None,-,,3,1250000,N,236,,,
177,146,Moltres,90,100,90,125,85,90,580,Fire,Flying,RU,Pressure,,Flame Body,60,80,3 SpA,217,Yellow,NONE,None,-,,3,1250000,N,237,,,
178,147,Dratini,41,64,45,50,50,50,300,Dragon,,NU,Shed Skin,,Marvel Scale,3.3,20,1 Atk,67,Blue,10240,Neutral,Water 1,Dragon,45,1250000,,241,,,
179,148,Dragonair,61,84,65,70,70,70,420,Dragon,,NU,Shed Skin,,Marvel Scale,16.5,40,2 Atk,144,Blue,,Neutral,Water 1,Dragon,45,1250000,Lv. 30,242,,,
180,149,Dragonite,91,134,95,100,100,80,600,Dragon,Flying,OU,Inner Focus,,Multiscale,210,120,3 Atk,218,Brown,,Neutral,Water 1,Dragon,45,1250000,Lv. 55,243,,,
181,150,Mewtwo,106,110,90,154,90,130,680,Psychic,,Uber,Pressure,,Unnerve,122,100,3 SpA,220,Purple,NONE,None,-,,3,1250000,N,249,,,
182,151,Mew,100,100,100,100,100,100,600,Psychic,,UU,Synchronize,,,4,20,3 HP,64,Pink,NONE,None,-,,45,1059860,N,250,,,
183,152,Chikorita,45,49,65,49,65,45,318,Grass,,NU,Overgrow,,Leaf Guard,6.4,20,1 SpD,64,Green,5120,M (87.5%),Monster,Grass,45,1059860,,1,,,
184,153,Bayleef,60,62,80,63,80,69,414,Grass,,NU,Overgrow,,Leaf Guard,15.8,40,1 Def/1 SpD,141,Green,,M (87.5%),Monster,Grass,45,1059860,Lv. 16,2,,,
185,154,Meganium,80,82,100,83,100,80,525,Grass,,NU,Overgrow,,Leaf Guard,100.5,100,1 Def/2 SpD,208,Green,,M (87.5%),Monster,Grass,45,1059860,Lv. 32,3,,,
186,155,Cyndaquil,39,52,43,60,50,65,309,Fire,,NU,Blaze,,Flash Fire,7.9,20,1 Spe,65,Yellow,5120,M (87.5%),Field,,45,1059860,,4,,,
187,156,Quilava,58,64,58,80,65,80,405,Fire,,NU,Blaze,,Flash Fire,19,40,1 SpA/1 Spe,142,Yellow,,M (87.5%),Field,,45,1059860,Lv. 14,5,,,
188,157,Typhlosion,78,84,78,109,85,100,534,Fire,,RU,Blaze,,Flash Fire,79.5,80,3 SpA,209,Yellow,,M (87.5%),Field,,45,1059860,Lv. 36,6,,,
189,158,Totodile,50,65,64,44,48,43,314,Water,,NU,Torrent,,Sheer Force,9.5,20,1 Atk,66,Blue,5120,M (87.5%),Monster,Water 1,45,1059860,,7,,,
190,159,Croconaw,65,80,80,59,63,58,405,Water,,NU,Torrent,,Sheer Force,25,40,1 Atk/1 Def,143,Blue,,M (87.5%),Monster,Water 1,45,1059860,Lv. 18,8,,,
191,160,Feraligatr,85,105,100,79,83,78,530,Water,,RU,Torrent,,Sheer Force,88.8,80,2 Atk/1 Def,210,Blue,,M (87.5%),Monster,Water 1,45,1059860,Lv. 30,9,,,
192,161,Sentret,35,46,34,35,45,20,215,Normal,,NU,Run Away,Keen Eye,Frisk,6,20,1 Atk,57,Brown,3840,Neutral,Field,,255,1000000,,19,,,
193,162,Furret,85,76,64,45,55,90,415,Normal,,NU,Run Away,Keen Eye,Frisk,32.5,60,2 Spe,116,Brown,,Neutral,Field,,90,1000000,Lv. 15,20,,,
194,163,Hoothoot,60,30,30,36,56,50,262,Normal,Flying,NU,Insomnia,Keen Eye,Tinted Lens,21.2,40,1 HP,58,Brown,3840,Neutral,Flying,,255,1000000,,15,,106,
195,164,Noctowl,100,50,50,76,96,70,442,Normal,Flying,NU,Insomnia,Keen Eye,Tinted Lens,40.8,60,2 HP,162,Brown,,Neutral,Flying,,90,1000000,Lv. 20,16,,107,
196,165,Ledyba,40,20,30,40,80,55,265,Bug,Flying,NU,Swarm,Early Bird,Rattled,10.8,40,1 SpD,54,Red,3840,Neutral,Bug,,255,800000,,30,,,
197,166,Ledian,55,35,50,55,110,85,390,Bug,Flying,NU,Swarm,Early Bird,Iron Fist,35.6,60,2 SpD,134,Red,,Neutral,Bug,,90,800000,Lv. 18,31,,,
198,167,Spinarak,40,60,40,40,40,30,250,Bug,Poison,NU,Swarm,Insomnia,Sniper,8.5,20,1 Atk,54,Green,3840,Neutral,Bug,,255,800000,,32,,,
199,168,Ariados,70,90,70,60,60,40,390,Bug,Poison,NU,Swarm,Insomnia,Sniper,33.5,60,2 Atk,134,Red,,Neutral,Bug,,90,800000,Lv. 22,33,,,
46,169,Crobat,85,90,80,70,80,130,535,Poison,Flying,UU,Inner Focus,,Infiltrator,75,80,3 Spe,204,Purple,,Neutral,Flying,,90,1000000,Friendship,39,65,30,
200,170,Chinchou,75,38,38,56,56,67,330,Water,Electric,NU,Volt Absorb,Illuminate,Water Absorb,12,40,1 HP,90,Blue,5120,Neutral,Water 2,,190,1250000,,174,181,,
201,171,Lanturn,125,58,58,76,76,67,460,Water,Electric,NU,Volt Absorb,Illuminate,Water Absorb,22.5,40,2 HP,156,Blue,,Neutral,Water 2,,75,1250000,Lv. 27,175,182,,
25,172,Pichu,20,40,15,35,35,60,205,Electric,,NU,Static,,Lightningrod,2,20,1 Spe,42,Yellow,2560,Neutral,-,,190,1000000,,21,155,103,
36,173,Cleffa,50,25,28,45,55,15,218,Normal,,NU,Cute Charm,Magic Guard,Friend Guard,3,20,2 SpD,37,Pink,2560,F (75%),-,,150,800000,,40,,99,
41,174,Igglybuff,90,30,15,40,20,15,210,Normal,,NU,Cute Charm,,Friend Guard,1,20,1 HP,39,Pink,2560,F (75%),-,,170,800000,,43,137,,
202,175,Togepi,35,20,65,40,65,20,245,Normal,,NU,Hustle,Serene Grace,Super Luck,1.5,20,1 SpD,74,White,2560,M (87.5%),-,,190,800000,,46,,173,
203,176,Togetic,55,40,85,80,105,40,405,Normal,Flying,NU,Hustle,Serene Grace,Super Luck,3.2,20,2 SpD,114,White,,M (87.5%),Flying,Fairy,75,800000,Friendship,47,,174,
205,177,Natu,40,50,45,70,45,70,320,Psychic,Flying,NU,Synchronize,Early Bird,Magic Bounce,2,20,1 SpA,73,Green,5120,Neutral,Flying,,190,1000000,,159,162,,
206,178,Xatu,65,75,70,95,70,95,470,Psychic,Flying,UU,Synchronize,Early Bird,Magic Bounce,15,40,1 SpA/1 Spe,171,Green,,Neutral,Flying,,75,1000000,Lv. 25,160,163,,
207,179,Mareep,55,40,40,65,45,35,280,Electric,,NU,Static,,Plus,7.8,20,1 SpA,59,White,5120,Neutral,Monster,Field,235,1059860,,53,,,
208,180,Flaaffy,70,55,55,80,60,45,365,Electric,,NU,Static,,Plus,13.3,40,2 SpA,117,Pink,,Neutral,Monster,Field,120,1059860,Lv. 15,54,,,
209,181,Ampharos,90,75,75,115,90,55,500,Electric,,NU,Static,,Plus,61.5,80,3 SpA,194,Yellow,,Neutral,Monster,Field,45,1059860,Lv. 30,55,,,
50,182,Bellossom,75,80,85,90,100,50,480,Grass,,NU,Chlorophyll,,Healer,5.8,20,3 SpD,184,Green,,Neutral,Grass,,45,1059860,Sun Stone,86,91,,
211,183,Marill,70,20,50,20,50,40,250,Water,,NU,Thick Fat,Huge Power,Sap Sipper,8.5,20,2 HP,58,Blue,2560,Neutral,Water 1,Fairy,190,800000,Friendship,130,55,125,
212,184,Azumarill,100,50,80,50,80,50,410,Water,,UU,Thick Fat,Huge Power,Sap Sipper,28.5,60,3 HP,153,Blue,,Neutral,Water 1,Fairy,75,800000,Lv. 18,131,56,126,
214,185,Sudowoodo,70,100,115,30,65,30,410,Rock,,NU,Sturdy,Rock Head,Rattled,38,60,2 Def,135,Brown,5120,Neutral,Mineral,,65,1000000,Level w/ Mimic,106,,,
68,186,Politoed,90,75,75,90,100,70,500,Water,,OU,Water Absorb,Damp,Drizzle,33.9,60,3 SpD,185,Green,,Neutral,Water 1,,45,1059860,Trade h/ Kings Rock,75,,,
215,187,Hoppip,35,35,40,35,55,50,250,Grass,Flying,NU,Chlorophyll,Leaf Guard,Infiltrator,0.5,20,1 SpD,74,Pink,5120,Neutral,Fairy,Grass,255,1059860,,67,,,
216,188,Skiploom,55,45,50,45,65,80,340,Grass,Flying,NU,Chlorophyll,Leaf Guard,Infiltrator,1,20,2 Spe,136,Green,,Neutral,Fairy,Grass,120,1059860,Lv. 18,68,,,
217,189,Jumpluff,75,55,70,55,85,110,450,Grass,Flying,NU,Chlorophyll,Leaf Guard,Infiltrator,3,20,3 Spe,176,Blue,,Neutral,Fairy,Grass,45,1059860,Lv. 27,69,,,
218,190,Aipom,55,70,55,40,55,85,360,Normal,,NU,Run Away,Pickup,Skill Link,11.5,40,1 Spe,94,Purple,5120,Neutral,Field,,45,800000,,122,,63,
220,191,Sunkern,30,30,30,30,30,30,180,Grass,,NU,Chlorophyll,Solar Power,Early Bird,1.8,20,1 SpA,52,Yellow,5120,Neutral,Grass,,235,1059860,,102,,,
221,192,Sunflora,75,75,55,105,85,30,425,Grass,,NU,Chlorophyll,Solar Power,Early Bird,8.5,20,2 SpA,146,Yellow,,Neutral,Grass,,120,1059860,Sun Stone,103,,,
222,193,Yanma,65,65,45,75,45,95,390,Bug,Flying,NU,Speed Boost,Compoundeyes,Frisk,38,60,2 Spe,147,Red,5120,Neutral,Bug,,75,1000000,,101,,183,
224,194,Wooper,55,45,45,25,25,15,210,Water,Ground,NU,Damp,Water Absorb,Unaware,8.5,20,1 HP,52,Blue,5120,Neutral,Water 1,Field,255,1000000,,56,,117,
225,195,Quagsire,95,85,85,65,65,35,430,Water,Ground,RU,Damp,Water Absorb,Unaware,75,80,2 HP,137,Blue,,Neutral,Water 1,Field,90,1000000,Lv. 20,57,,118,
161,196,Espeon,65,65,60,130,95,110,525,Psychic,,BL,Synchronize,,Magic Bounce,26.5,60,2 SpA,197,Purple,,M (87.5%),Field,,45,1000000,Morn/Day Friendship,184,,167,
162,197,Umbreon,95,65,110,60,130,65,525,Dark,,RU,Synchronize,,Inner Focus,27,60,2 SpD,197,Black,,M (87.5%),Field,,45,1000000,Nite Friendship,185,,168,
226,198,Murkrow,60,85,42,85,42,91,405,Dark,Flying,NU,Insomnia,Super Luck,Prankster,2.1,20,1 Spe,107,Black,5120,Neutral,Flying,,30,1059860,,208,,74,
87,199,Slowking,95,75,80,100,110,30,490,Water,Psychic,NU,Oblivious,Own Tempo,Regenerator,79.5,80,3 SpD,164,Pink,,Neutral,Monster,Water 1,70,1000000,Trade h/ Kings Rock,82,,,
228,200,Misdreavus,60,60,60,85,85,85,435,Ghost,,NU,Levitate,,,1,20,1 SpD,147,Gray,6400,Neutral,Amorphous,,45,800000,,214,,72,
230,201,Unown,48,72,48,72,48,48,336,Psychic,,NU,Levitate,,,5,20,1 Atk/1 SpA,61,Black,NONE,None,-,,225,1000000,N,61,,114,
232,202,Wobbuffet,190,33,58,33,58,33,405,Psychic,,BL,Shadow Tag,,Telepathy,28.5,60,2 HP,177,Blue,5120,Neutral,Amorphous,,45,1000000,Lv. 15,107,161,,
233,203,Girafarig,70,80,65,90,65,85,455,Normal,Psychic,NU,Inner Focus,Early Bird,Sap Sipper,41.5,60,2 SpA,149,Yellow,5120,Neutral,Field,,60,1000000,N,147,164,121,
234,204,Pineco,50,65,90,35,35,15,290,Bug,,NU,Sturdy,,Overcoat,7.2,20,1 Def,60,Gray,5120,Neutral,Bug,,190,1000000,,93,,,
235,205,Forretress,75,90,140,60,60,40,465,Bug,Steel,OU,Sturdy,,Overcoat,125.8,100,2 Def,118,Purple,,Neutral,Bug,,75,1000000,Lv. 31,94,,,
236,206,Dunsparce,100,70,70,65,65,45,415,Normal,,NU,Serene Grace,Run Away,Rattled,14,40,1 HP,125,Yellow,5120,Neutral,Field,,190,1000000,N,52,,,
237,207,Gligar,65,75,105,35,65,85,430,Ground,Flying,RU,Hyper Cutter,Sand Veil,Immunity,64.8,80,1 Def,108,Purple,5120,Neutral,Bug,,60,1059860,,189,,153,
104,208,Steelix,75,85,200,55,65,30,510,Steel,Ground,RU,Rock Head,Sturdy,Sheer Force,400,120,2 Def,196,Gray,,Neutral,Mineral,,25,1000000,Trade h/ Metal Coat,63,,35,
239,209,Snubbull,60,80,50,40,40,30,300,Normal,,NU,Intimidate,Run Away,Rattled,7.8,20,1 Atk,63,Pink,5120,F (75%),Field,Fairy,190,800000,,123,,,
240,210,Granbull,90,120,75,60,60,45,450,Normal,,NU,Intimidate,Quick Feet,Rattled,48.7,60,2 Atk,178,Purple,,F (75%),Field,Fairy,75,800000,Lv. 23,124,,,
241,211,Qwilfish,65,95,75,55,55,85,430,Water,Poison,RU,Poison Point,Swift Swim,Intimidate,3.9,20,1 Atk,100,Gray,5120,Neutral,Water 2,,45,1000000,N,161,,,
142,212,Scizor,70,130,100,55,80,65,500,Bug,Steel,OU,Swarm,Technician,Light Metal,118,100,2 Atk,200,Red,,Neutral,Bug,,25,1000000,Trade h/ Metal Coat,111,,196,
242,213,Shuckle,20,10,230,10,230,5,505,Bug,Rock,NU,Sturdy,Gluttony,Contrary,20.5,40,1 Def/1 SpD,80,Yellow,5120,Neutral,Bug,,190,1059860,N,166,,,
243,214,Heracross,80,125,75,40,95,85,500,Bug,Fighting,UU,Swarm,Guts,Moxie,54,80,2 Atk,200,Blue,6400,Neutral,Bug,,45,1250000,N,113,168,62,
244,215,Sneasel,55,95,55,35,75,115,430,Dark,Ice,NU,Inner Focus,Keen Eye,Pickpocket,28,60,1 Spe,132,Black,5120,Neutral,Field,,60,1059860,,213,,144,
246,216,Teddiursa,60,80,50,50,50,40,330,Normal,,NU,Pickup,Quick Feet,Honey Gather,8.8,20,1 Atk,124,Brown,5120,Neutral,Field,,120,1000000,,193,,,
247,217,Ursaring,90,130,75,75,75,55,500,Normal,,NU,Guts,Quick Feet,Unnerve,125.8,100,2 Atk,189,Brown,,Neutral,Field,,60,1000000,Lv. 30,194,,,
248,218,Slugma,40,40,40,70,40,20,250,Fire,,NU,Magma Armor,Flame Body,Weak Armor,35,60,1 SpA,78,Red,5120,Neutral,Amorphous,,190,1000000,,211,103,,
249,219,Magcargo,50,50,120,80,80,30,410,Fire,Rock,NU,Magma Armor,Flame Body,Weak Armor,55,80,2 Def,154,Red,,Neutral,Amorphous,,75,1000000,Lv. 38,212,104,,
250,220,Swinub,50,50,40,30,30,50,250,Ice,Ground,NU,Oblivious,Snow Cloak,Thick Fat,6.5,20,1 Atk,78,Brown,5120,Neutral,Field,,225,1250000,,191,,203,
251,221,Piloswine,100,100,80,60,60,50,450,Ice,Ground,NU,Oblivious,Snow Cloak,Thick Fat,55.8,80,1 HP/1 Atk,160,Brown,,Neutral,Field,,75,1250000,Lv. 33,192,,204,
253,222,Corsola,55,55,85,65,85,35,380,Water,Rock,NU,Hustle,Natural Cure,Regenerator,5,20,1 Def/1 SpD,113,Pink,5120,F (75%),Water 1,Water 3,60,800000,N,171,180,,
254,223,Remoraid,35,65,35,65,35,65,300,Water,,NU,Hustle,Sniper,Moody,12,40,1 SpA,78,Gray,5120,Neutral,Water 1,Water 2,190,1000000,,172,,132,
255,224,Octillery,75,105,75,105,75,45,480,Water,,NU,Suction Cups,Sniper,Moody,28.5,60,1 Atk/1 SpA,164,Red,,Neutral,Water 1,Water 2,75,1000000,Lv. 25,173,,133,
256,225,Delibird,45,55,45,65,45,75,330,Ice,Flying,NU,Vital Spirit,Hustle,Insomnia,16,40,1 Spe,183,Red,5120,Neutral,Water 1,Field,45,800000,N,190,,,
258,226,Mantine,65,40,70,80,140,70,465,Water,Flying,NU,Swift Swim,Water Absorb,Water Veil,220,120,2 SpD,168,Purple,6400,Neutral,Water 1,,25,1250000,Level t/ Remoraid,197,,141,
259,227,Skarmory,65,80,140,40,70,70,465,Steel,Flying,OU,Keen Eye,Sturdy,Weak Armor,50.5,80,2 Def,168,Gray,6400,Neutral,Flying,,25,1250000,N,198,115,,
260,228,Houndour,45,60,30,80,50,65,330,Dark,Fire,NU,Early Bird,Flash Fire,Unnerve,10.8,40,1 SpA,114,Black,5120,Neutral,Field,,120,1250000,,209,,176,
261,229,Houndoom,75,90,50,110,80,95,500,Dark,Fire,UU,Early Bird,Flash Fire,Unnerve,35,60,2 SpA,204,Black,,Neutral,Field,,45,1250000,Lv. 24,210,,177,
134,230,Kingdra,75,95,95,95,95,85,540,Water,Dragon,UU,Swift Swim,Sniper,Damp,152,100,1 Atk/1 SpA/1 SpD,207,Blue,,Neutral,Water 1,Dragon,45,1000000,Trade h/ Dragon Scale,188,186,,
262,231,Phanpy,90,60,60,40,40,40,330,Ground,,NU,Pickup,,Sand Veil,33.5,60,1 HP,124,Blue,5120,Neutral,Field,,120,1000000,,195,165,,
263,232,Donphan,90,120,120,60,60,50,500,Ground,,UU,Sturdy,,Sand Veil,120,100,1 Atk/1 Def,189,Gray,,Neutral,Field,,60,1000000,Lv. 25,196,166,,
166,233,Porygon2,85,80,90,105,95,60,515,Normal,,OU,Trace,Download,Analytic,32.5,60,2 SpA,180,Red,,None,Mineral,,45,1000000,Trade w/ Up-Grade,216,,193,
264,234,Stantler,73,95,62,85,65,85,465,Normal,,NU,Intimidate,Frisk,Sap Sipper,71.2,80,1 Atk,165,Brown,5120,Neutral,Field,,45,1250000,N,129,,,
265,235,Smeargle,55,20,35,20,45,75,250,Normal,,NU,Own Tempo,Technician,Moody,58,80,1 Spe,106,White,5120,Neutral,Field,,45,800000,N,157,,,
115,236,Tyrogue,35,35,35,35,35,35,210,Fighting,,NU,Guts,Steadfast,Vital Spirit,21,40,1Atk,91,Purple,6400,M (100%),-,,75,1000000,,143,,,
118,237,Hitmontop,50,95,95,35,110,70,455,Fighting,,UU,Intimidate,Technician,Steadfast,48,60,2 SpD,138,Brown,,M (100%),Human-Like,,45,1000000,Lv. 20 (Atk=Def),146,,,
143,238,Smoochum,45,30,15,85,65,65,305,Ice,Psychic,NU,Oblivious,Forewarn,Hydration,6,20,1 SpA,87,Pink,6400,F (100%),-,,45,1000000,,152,,,
145,239,Elekid,45,63,37,65,55,95,360,Electric,,NU,Static,,Vital Spirit,23.5,40,1 Spe,106,Yellow,6400,M (75%),-,,45,1000000,,154,,197,
148,240,Magby,45,75,37,70,55,83,365,Fire,,NU,Flame Body,,Vital Spirit,21.4,40,1 Spe,117,Red,6400,M (75%),-,,45,1000000,,150,,200,
266,241,Miltank,95,80,105,40,70,100,490,Normal,,RU,Thick Fat,Scrappy,Sap Sipper,75.5,80,2 Def,200,Pink,5120,F (100%),Field,,45,1250000,N,149,,,
128,242,Blissey,255,10,10,75,135,55,540,Normal,,OU,Natural Cure,Serene Grace,Healer,46.8,60,3 HP,255,Pink,,F (100%),Fairy,,30,800000,Friendship,218,,98,
267,243,Raikou,90,85,75,115,100,115,580,Electric,,UU,Pressure,,Volt Absorb,178,100,1 SpA/2 Spe,216,Yellow,NONE,None,-,,3,1250000,N,238,,,
268,244,Entei,115,115,85,90,75,100,580,Fire,,RU,Pressure,,Flash Fire,198,100,1 HP/2 Atk,217,Brown,NONE,None,-,,3,1250000,N,239,,,
269,245,Suicune,100,75,115,90,115,85,580,Water,,UU,Pressure,,Water Absorb,187,100,1 Def/2 SpD,215,Blue,NONE,None,-,,3,1250000,N,240,,,
270,246,Larvitar,50,64,50,45,50,41,300,Rock,Ground,NU,Guts,,Sand Veil,72,80,1 Atk,67,Green,10240,Neutral,Monster,,45,1250000,,244,,,
271,247,Pupitar,70,84,70,65,70,51,410,Rock,Ground,NU,Shed Skin,,,152,100,2 Atk,144,Gray,,Neutral,Monster,,45,1250000,Lv. 30,245,,,
272,248,Tyranitar,100,134,110,95,100,61,600,Rock,Dark,OU,Sand Stream,,Unnerve,202,120,3 Atk,218,Green,,Neutral,Monster,,45,1250000,Lv. 55,246,,,
273,249,Lugia,106,90,130,90,154,110,680,Psychic,Flying,Uber,Pressure,,Multiscale,216,120,3 SpD,220,White,NONE,None,-,,3,1250000,N,247,,,
274,250,Ho-oh,106,130,90,110,154,90,680,Fire,Flying,Uber,Pressure,,Regenerator,199,100,3 SpD,220,Red,NONE,None,-,,3,1250000,N,248,,,
275,251,Celebi,100,100,100,100,100,100,600,Psychic,Grass,UU,Natural Cure,,,5,20,3 HP,64,Green,NONE,None,-,,45,1059860,N,251,,,
276,252,Treecko,40,45,35,65,55,70,310,Grass,,NU,Overgrow,,Unburden,5,20,1 Spe,65,Green,5120,M (87.5%),Monster,Dragon,45,1059860,,,1,,
277,253,Grovyle,50,65,45,85,65,95,405,Grass,,NU,Overgrow,,Unburden,21.6,40,2 Spe,141,Green,,M (87.5%),Monster,Dragon,45,1059860,Lv. 16,,2,,
278,254,Sceptile,70,85,65,105,85,120,530,Grass,,RU,Overgrow,,Unburden,52.2,80,3 Spe,208,Green,,M (87.5%),Monster,Dragon,45,1059860,Lv. 36,,3,,
279,255,Torchic,45,60,40,70,50,45,310,Fire,,NU,Blaze,,Speed Boost,2.5,20,1 SpA,65,Red,5120,M (87.5%),Field,,45,1059860,,,4,,
280,256,Combusken,60,85,60,85,60,55,405,Fire,Fighting,NU,Blaze,,Speed Boost,19.5,40,1 Atk/1 SpA,142,Red,,M (87.5%),Field,,45,1059860,Lv. 16,,5,,
281,257,Blaziken,80,120,70,110,70,80,530,Fire,Fighting,Uber,Blaze,,Speed Boost,52,80,3 Atk,209,Red,,M (87.5%),Field,,45,1059860,Lv. 36,,6,,
282,258,Mudkip,50,70,50,50,50,40,310,Water,,NU,Torrent,,Damp,7.6,20,1 Atk,65,Blue,5120,M (87.5%),Monster,Water 1,45,1059860,,,7,,
283,259,Marshtomp,70,85,70,60,70,50,405,Water,Ground,NU,Torrent,,Damp,28,60,2 Atk,143,Blue,,M (87.5%),Monster,Water 1,45,1059860,Lv. 16,,8,,
284,260,Swampert,100,110,90,85,90,60,535,Water,Ground,OU,Torrent,,Damp,81.9,80,3 Atk,210,Blue,,M (87.5%),Monster,Water 1,45,1059860,Lv. 36,,9,,
285,261,Poochyena,35,55,35,30,30,35,220,Dark,,NU,Run Away,Quick Feet,Rattled,13.6,40,1 Atk,55,Gray,3840,Neutral,Field,,255,1000000,,,10,,
286,262,Mightyena,70,90,70,60,60,70,420,Dark,,NU,Intimidate,Quick Feet,Moxie,37,60,2 Atk,128,Gray,,Neutral,Field,,127,1000000,Lv. 18,,11,,
287,263,Zigzagoon,38,30,41,30,41,60,240,Normal,,NU,Pickup,Gluttony,Quick Feet,17.5,40,1 Spe,60,Brown,3840,Neutral,Field,,255,1000000,,,12,,
288,264,Linoone,78,70,61,50,61,100,420,Normal,,NU,Pickup,Gluttony,Quick Feet,32.5,60,2 Spe,128,White,,Neutral,Field,,90,1000000,Lv. 20,,13,,
289,265,Wurmple,45,45,35,20,30,20,195,Bug,,NU,Shield Dust,,Run Away,3.6,20,1 HP,54,Red,3840,Neutral,Bug,,255,1000000,,,14,48,
290,266,Silcoon,50,35,55,25,25,15,205,Bug,,NU,Shed Skin,,,10,20,2 Def,72,White,,Neutral,Bug,,120,1000000,Lv. 7,,15,49,
291,267,Beautifly,60,70,50,90,50,65,385,Bug,Flying,NU,Swarm,,Rivalry,28.4,60,3 SpA,161,Yellow,,Neutral,Bug,,45,1000000,Lv. 10,,16,50,
292,268,Cascoon,50,35,55,25,25,15,205,Bug,,NU,Shed Skin,,,11.5,40,2 Def,72,Purple,,Neutral,Bug,,120,1000000,Lv. 7,,17,51,
293,269,Dustox,60,50,70,50,90,65,385,Bug,Poison,NU,Shield Dust,,Compoundeyes,31.6,60,3 SpD,161,Green,,Neutral,Bug,,45,1000000,Lv. 10,,18,52,
294,270,Lotad,40,30,30,40,50,30,220,Water,Grass,NU,Swift Swim,Rain Dish,Own Tempo,2.6,20,1 SpD,74,Green,3840,Neutral,Water 1,Grass,255,1059860,,,19,,
295,271,Lombre,60,50,50,60,70,50,340,Water,Grass,NU,Swift Swim,Rain Dish,Own Tempo,32.5,60,2 SpD,141,Green,,Neutral,Water 1,Grass,120,1059860,Lv. 14,,20,,
296,272,Ludicolo,80,70,70,90,100,70,480,Water,Grass,NU,Swift Swim,Rain Dish,Own Tempo,55,80,3 SpD,181,Green,,Neutral,Water 1,Grass,45,1059860,Water Stone,,21,,
297,273,Seedot,40,40,50,30,30,30,220,Grass,,NU,Chlorophyll,Early Bird,Pickpocket,4,20,1 Def,74,Brown,3840,Neutral,Field,Grass,255,1059860,,,22,,
298,274,Nuzleaf,70,70,40,60,40,60,340,Grass,Dark,NU,Chlorophyll,Early Bird,Pickpocket,28,60,2 Atk,141,Brown,,Neutral,Field,Grass,120,1059860,Lv. 14,,23,,
299,275,Shiftry,90,100,60,90,60,80,480,Grass,Dark,NU,Chlorophyll,Early Bird,Pickpocket,59.6,80,3 Atk,181,Brown,,Neutral,Field,Grass,45,1059860,Leaf Stone,,24,,
300,276,Taillow,40,55,30,30,30,85,270,Normal,Flying,NU,Guts,,Scrappy,2.3,20,1 Spe,59,Blue,3840,Neutral,Flying,,200,1059860,,,25,,
301,277,Swellow,60,85,60,50,50,125,430,Normal,Flying,NU,Guts,,Scrappy,19.8,40,2 Spe,162,Blue,,Neutral,Flying,,45,1059860,Lv. 22,,26,,
302,278,Wingull,40,30,30,55,30,85,270,Water,Flying,NU,Keen Eye,,Rain Dish,9.5,20,1 Spe,64,White,5120,Neutral,Water 1,Flying,190,1000000,,,27,119,
303,279,Pelipper,60,50,100,85,70,65,430,Water,Flying,NU,Keen Eye,,Rain Dish,28,60,2 Def,164,Yellow,,Neutral,Water 1,Flying,45,1000000,Lv. 25,,28,120,
304,280,Ralts,28,25,25,45,35,40,198,Psychic,,NU,Synchronize,Trace,Telepathy,6.6,20,1 SpA,70,White,5120,Neutral,Amorphous,,235,1250000,,,29,157,
305,281,Kirlia,38,35,35,65,55,50,278,Psychic,,NU,Synchronize,Trace,Telepathy,20.2,40,2 SpA,140,White,,Neutral,Amorphous,,120,1250000,Lv. 20,,30,158,
306,282,Gardevoir,68,65,65,125,115,80,518,Psychic,,NU,Synchronize,Trace,Telepathy,48.4,60,3 SpA,208,White,,Neutral,Amorphous,,45,1250000,Lv. 30,,31,159,
308,283,Surskit,40,30,32,50,52,65,269,Bug,Water,NU,Swift Swim,,Rain Dish,1.7,20,1 Spe,63,Blue,3840,Neutral,Water 1,Bug,200,1000000,,,32,,
309,284,Masquerain,70,60,62,80,82,60,414,Bug,Flying,NU,Intimidate,,Unnerve,3.6,20,1 SpA/1 SpD,128,Blue,,Neutral,Water 1,Bug,75,1000000,Lv. 22,,33,,
310,285,Shroomish,60,40,60,40,60,35,295,Grass,,NU,Effect Spore,Poison Heal,Quick Feet,4.5,20,1 HP,65,Brown,3840,Neutral,Fairy,Grass,255,1640000,,,34,,
311,286,Breloom,60,130,80,60,60,70,460,Grass,Fighting,OU,Effect Spore,Poison Heal,Technician,39.2,60,2 Atk,165,Green,,Neutral,Fairy,Grass,90,1640000,Lv. 23,,35,,
312,287,Slakoth,60,60,60,35,35,30,280,Normal,,NU,Truant,,,24,40,1 HP,83,Brown,3840,Neutral,Field,,255,1250000,,,36,,
313,288,Vigoroth,80,80,80,55,55,90,440,Normal,,NU,Vital Spirit,,,46.5,60,2 Spe,126,White,,Neutral,Field,,120,1250000,Lv. 18,,37,,
